date,flow_cfs,flow,qc
1980-01-01,377.0,10.6754336,A
1980-01-02,350.0,9.91088,A
1980-01-03,332.0,9.4011776,A
1980-01-04,342.0,9.6843456,A
1980-01-05,387.0,10.9586016,A
1980-01-06,404.0,11.4399872,A
1980-01-07,403.0,11.4116704,A
1980-01-08,399.0,11.2984032,A
1980-01-09,395.0,11.185136,A
1980-01-10,374.0,10.5904832,A
1980-01-11,452.0,12.7991936,A
1980-01-12,626.0,17.7263168,A
1980-01-13,636.0,18.0094848,A
1980-01-14,617.0,17.4714656,A
1980-01-15,627.0,17.7546336,A
1980-01-16,587.0,16.6219616,A
1980-01-17,590.0,16.706912,A
1980-01-18,975.0,27.60888,A
1980-01-19,1040.0,29.449472,A
1980-01-20,1040.0,29.449472,A
1980-01-21,1050.0,29.73264,A
1980-01-22,1110.0,31.431648,A
1980-01-23,1260.0,35.679168,A
1980-01-24,1300.0,36.81184,A
1980-01-25,1240.0,35.112832,A
1980-01-26,1170.0,33.130656,A
1980-01-27,1110.0,31.431648,A
1980-01-28,1020.0,28.883136,A
1980-01-29,903.0,25.5700704,A
1980-01-30,822.0,23.2764096,A
1980-01-31,911.0,25.7966048,A
1980-02-01,842.0,23.8427456,A
1980-02-02,767.0,21.7189856,A
1980-02-03,720.0,20.388096,A
1980-02-04,694.0,19.6518592,A
1980-02-05,619.0,17.5280992,A
1980-02-06,665.0,18.830672,A
1980-02-07,673.0,19.0572064,A
1980-02-08,648.0,18.3492864,A
1980-02-09,631.0,17.8679008,A
1980-02-10,699.0,19.7934432,A
1980-02-11,785.0,22.228688,A
1980-02-12,819.0,23.1914592,A
1980-02-13,869.0,24.6072992,A
1980-02-14,898.0,25.4284864,A
1980-02-15,857.0,24.2674976,A
1980-02-16,781.0,22.1154208,A
1980-02-17,678.0,19.1987904,A
1980-02-18,609.0,17.2449312,A
1980-02-19,578.0,16.3671104,A
1980-02-20,559.0,15.8290912,A
1980-02-21,542.0,15.3477056,A
1980-02-22,539.0,15.262755199999999,A
1980-02-23,583.0,16.5086944,A
1980-02-24,772.0,21.860569599999998,A
1980-02-25,783.0,22.1720544,A
1980-02-26,741.0,20.9827488,A
1980-02-27,661.0,18.7174048,A
1980-02-28,585.0,16.565328,A
